기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	비알콜 음료점업	비알콜 음료점업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	셔츠 및 외의 도매업	셔츠 및 외의 도매업	분식 및 김밥전문점	분식 및 김밥전문점
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2015	합계	합계	48,595	86,574	47,025	167,613	36,249	40,460	21,730	41,287	19,039	43,239	16,821	33,136	14,625	51,426	14,302	33,660	13,666	51,279	9,301	23,257
2015	종로구	소계	222	343	2,474	9,989	614	667	537	1,021	728	2,061	261	455	1,066	3,906	333	700	465	903	421	1,124
2015	종로구	사직동	9	130	334	1,518	17	17	56	114	91	239	22	44	141	595	25	72	1	1	43	123
2015	종로구	삼청동	4	4	64	317	8	8	2	3	6	18	1	3	76	316	30	73	2	12	23	78
2015	종로구	부암동	18	18	27	112	13	13	14	18	12	32	9	13	33	80	8	11	1	1	11	50
2015	종로구	평창동	13	13	60	270	17	22	31	52	27	58	17	23	17	56	5	6	-	-	8	16
2015	종로구	무악동	14	14	12	30	329	331	10	17	3	3	10	14	5	10	1	2	-	-	7	17
2015	종로구	교남동	15	15	28	120	13	14	15	23	4	18	5	6	6	25	4	4	-	-	2	3
2015	종로구	가회동	10	10	75	318	10	13	14	21	14	27	9	11	52	156	5	11	2	2	15	34
2015	종로구	종로1.2.3.4가동	1	1	909	4,198	11	22	126	384	315	1,016	35	69	368	1,419	104	219	274	397	101	274
2015	종로구	종로5·6가동	4	4	284	863	20	40	75	111	41	84	18	26	71	162	44	86	78	210	58	118
2015	종로구	이화동	6	6	115	542	19	20	17	27	28	103	8	12	81	398	7	19	10	109	27	90
2015	종로구	창신1동	10	10	112	265	9	9	30	36	22	50	14	27	15	44	41	68	67	102	20	45
2015	종로구	창신2동	10	10	60	146	26	26	15	20	20	25	23	26	6	19	5	9	1	2	9	15
2015	종로구	창신3동	27	27	13	25	23	23	15	20	-	-	11	14	4	4	1	1	1	6	3	9
2015	종로구	숭인1동	13	13	25	66	22	22	15	17	6	14	13	29	2	3	3	4	6	12	6	11
2015	종로구	숭인2동	11	11	101	282	28	28	33	49	25	50	13	20	22	70	19	45	21	48	17	38
2015	종로구	청운효자동	24	24	67	211	17	27	30	43	12	31	15	24	56	162	14	22	1	1	22	38
2015	종로구	혜화동	33	33	188	706	32	32	39	66	102	293	38	94	111	387	17	48	-	-	49	165
2015	중구	소계	260	273	2,430	10,278	362	650	652	1,462	551	1,433	325	850	900	3,425	2,218	5,406	11,389	23,431	420	1,183
2015	중구	소공동	1	1	276	1,542	1	1	24	54	34	114	16	53	141	626	190	752	5	187	38	139
2015	중구	회현동	7	20	255	1,031	7	40	25	49	34	90	19	50	107	401	521	791	1,554	2,606	58	178
2015	중구	명동	-	-	426	2,615	-	-	112	449	72	327	67	357	256	1,244	187	1,053	17	395	91	306
2015	중구	필동	4	4	169	655	12	18	31	75	63	130	12	20	73	222	7	12	3	8	28	69
2015	중구	장충동	8	8	63	282	10	10	17	30	17	36	7	19	15	43	8	24	19	544	9	22
2015	중구	광희동	5	5	293	1,237	28	62	64	125	62	167	22	50	86	310	1,033	2,315	768	1,614	39	93
2015	중구	을지로동	-	-	259	816	4	13	52	73	56	141	8	14	77	174	63	107	376	519	41	93
2015	중구	신당5동	13	13	102	249	38	41	28	38	44	61	19	24	8	15	26	46	54	168	13	24
2015	중구	황학동	19	19	158	439	39	39	36	51	22	39	21	36	21	54	22	37	29	157	27	52
2015	중구	중림동	19	19	89	262	24	226	28	155	26	62	15	33	26	72	2	2	3	224	11	25
2015	중구	신당동	10	10	132	428	21	21	116	188	45	101	24	43	39	121	117	184	8,453	16,577	30	104
2015	중구	다산동	38	38	76	241	51	51	26	41	27	66	22	41	18	71	9	16	43	139	15	36
2015	중구	약수동	55	55	52	200	38	38	42	61	24	58	32	48	14	30	15	20	5	41	8	16
2015	중구	청구동	49	49	34	137	51	52	25	39	14	23	18	28	11	24	9	31	21	73	6	14
2015	중구	동화동	32	32	46	144	38	38	26	34	11	18	23	34	8	18	9	16	39	179	6	12
2015	용산구	소계	469	598	1,333	4,872	584	675	670	1,021	567	1,443	364	677	510	1,808	482	980	27	208	256	667
2015	용산구	후암동	46	46	59	202	48	48	38	47	18	32	24	36	20	58	10	15	1	3	22	55
2015	용산구	용산2가동	45	45	28	96	35	36	23	36	19	36	23	25	20	109	7	11	2	9	6	15
2015	용산구	남영동	3	3	178	702	9	13	28	57	50	125	16	23	47	226	42	133	2	6	30	96
2015	용산구	원효로2동	31	31	44	120	56	56	22	28	12	19	20	25	10	30	9	11	-	-	10	18
2015	용산구	효창동	37	37	19	51	31	31	12	17	5	6	6	7	14	27	-	-	1	3	5	8
2015	용산구	용문동	31	31	46	114	48	48	21	27	25	34	23	33	12	15	5	9	2	45	9	20
2015	용산구	이촌1동	14	14	52	184	9	9	51	89	24	57	29	116	24	112	31	41	-	-	12	29
2015	용산구	이촌2동	40	40	11	25	57	63	20	35	1	2	8	8	4	7	1	1	2	6	5	5
2015	용산구	이태원1동	9	9	91	439	8	8	20	36	122	411	19	40	50	204	225	357	1	16	11	30
2015	용산구	이태원2동	33	33	42	143	21	21	34	49	58	194	20	28	46	144	13	16	-	-	10	30
2015	용산구	서빙고동	22	151	21	86	30	30	14	17	1	1	10	19	7	27	3	3	1	5	9	19
2015	용산구	보광동	52	52	71	174	59	63	43	63	26	75	45	63	9	20	14	14	-	-	13	31
2015	용산구	청파동	41	41	127	356	67	67	61	87	51	96	46	117	63	169	19	25	2	3	40	101
2015	용산구	원효로1동	16	16	134	401	37	63	58	79	37	61	18	27	27	62	8	18	1	6	23	43
2015	용산구	한강로동	12	12	264	1,079	26	76	132	202	49	107	25	49	88	353	67	225	2	8	38	132
