기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식 일반 음식점업	한식 일반 음식점업	용달 화물자동차 운송업	용달 화물자동차 운송업	부동산 중개 및 대리업	부동산 중개 및 대리업	두발미용업	두발미용업	기타주점업	기타주점업	남녀용 겉옷 및 셔츠 도매업	남녀용 겉옷 및 셔츠 도매업	커피전문점	커피전문점	일반 교과 학원	일반 교과 학원	한식 육류요리 전문점	한식 육류요리 전문점
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	합계	합계	49,782	86,814	30,467	104,292	25,057	26,206	22,313	37,661	18,012	37,509	14,520	32,944	13,711	52,717	13,662	46,712	12,355	49,704	10,211	39,913
2017	종로구	소계	226	226	1,665	6,243	496	541	540	906	271	539	609	1,686	422	911	807	2,923	136	494	420	1,866
2017	종로구	사직동	7	7	247	1,063	7	7	53	83	25	57	80	198	2	7	105	415	13	78	41	178
2017	종로구	삼청동	4	4	43	152	5	5	7	10	1	3	3	7	-	-	61	180	-	-	6	40
2017	종로구	부암동	17	17	29	92	11	11	17	23	9	15	10	28	2	11	22	69	21	58	2	6
2017	종로구	평창동	18	18	37	139	8	8	31	50	19	27	23	47	4	13	16	46	35	87	14	48
2017	종로구	무악동	12	12	7	21	313	313	9	11	10	14	-	-	-	-	4	6	13	57	2	4
2017	종로구	교남동	15	15	12	41	8	8	23	30	7	19	-	-	-	-	9	27	4	20	3	18
2017	종로구	가회동	8	8	61	257	4	4	16	21	8	8	7	20	2	3	38	96	2	4	7	23
2017	종로구	종로1.2.3.4가동	1	1	616	2,560	6	15	115	326	39	93	272	812	229	282	245	1,109	6	41	172	907
2017	종로구	종로5·6가동	7	7	180	560	13	27	76	91	18	27	30	65	79	254	61	132	-	-	48	188
2017	종로구	이화동	5	5	76	349	11	11	14	15	8	20	30	131	9	109	69	323	6	38	17	88
2017	종로구	창신1동	12	12	75	189	6	6	32	40	14	42	18	38	61	123	9	23	2	7	14	40
2017	종로구	창신2동	11	11	39	105	22	22	15	18	19	21	7	14	2	2	8	12	1	4	20	57
2017	종로구	창신3동	24	24	8	17	12	12	15	20	11	13	-	-	2	9	5	5	3	9	2	5
2017	종로구	숭인1동	18	18	15	41	14	14	15	18	13	20	5	6	7	22	4	10	6	26	3	6
2017	종로구	숭인2동	11	11	59	144	18	18	33	45	18	38	25	44	21	69	19	62	6	22	17	60
2017	종로구	청운효자동	24	24	49	149	13	35	28	41	15	25	12	26	1	1	50	126	8	23	11	30
2017	종로구	혜화동	32	32	112	364	25	25	41	64	37	97	87	250	1	6	82	282	10	20	41	168
2017	중구	소계	226	232	1,743	6,924	262	518	561	916	336	920	383	944	11,342	23,681	743	2,953	65	202	415	1,983
2017	중구	소공동	2	2	212	993	1	1	16	29	20	69	23	69	5	173	109	516	-	-	39	245
2017	중구	회현동	2	8	191	774	1	1	22	45	19	42	21	51	1,520	2,173	95	358	-	-	27	208
2017	중구	명동	-	-	337	1,764	2	2	86	196	63	353	50	183	29	512	206	1,041	3	10	86	510
2017	중구	필동	5	5	135	520	10	12	30	56	13	18	43	99	1	3	67	187	4	28	18	64
2017	중구	장충동	11	11	53	203	6	6	12	14	8	23	11	25	25	529	17	49	2	7	13	34
2017	중구	광희동	3	3	186	811	17	66	56	102	19	72	47	125	758	1,697	66	249	-	-	64	286
2017	중구	을지로동	-	-	193	644	4	4	47	61	8	15	32	71	460	812	58	155	-	-	32	119
2017	중구	신당5동	16	16	61	158	26	27	33	40	23	27	39	58	50	156	7	14	5	6	30	86
2017	중구	황학동	12	12	91	212	28	28	31	45	22	55	18	36	26	56	11	43	2	4	34	129
2017	중구	중림동	22	22	59	151	22	226	23	56	18	35	21	49	4	282	29	72	5	11	15	48
2017	중구	신당동	4	4	79	247	12	12	95	121	26	49	31	78	8,336	16,748	29	124	1	2	12	45
2017	중구	다산동	32	32	57	161	43	43	22	35	22	41	24	55	46	201	19	54	10	32	18	94
2017	중구	약수동	53	53	38	135	30	30	38	48	34	61	9	23	8	77	10	42	9	27	15	65
2017	중구	청구동	44	44	21	77	31	31	22	31	18	31	8	15	26	90	8	18	17	57	5	28
2017	중구	동화동	20	20	30	74	29	29	28	37	23	29	6	7	48	172	12	31	7	18	7	22
2017	용산구	소계	499	628	902	3,120	495	503	723	1,075	372	816	477	1,315	37	320	519	1,764	113	383	272	1,060
2017	용산구	후암동	52	52	40	139	47	47	40	45	24	34	13	18	2	16	22	55	16	40	11	39
2017	용산구	용산2가동	44	44	24	91	35	36	23	35	19	21	26	49	1	1	18	53	5	14	2	5
2017	용산구	남영동	4	4	117	426	10	10	22	31	16	27	38	101	3	97	48	199	2	8	33	126
2017	용산구	원효로2동	36	36	35	82	44	44	26	36	18	19	7	9	-	-	11	34	20	78	4	5
2017	용산구	효창동	36	36	16	31	35	35	13	23	7	8	1	1	1	5	12	24	9	22	3	8
2017	용산구	용문동	37	37	24	70	35	35	24	33	28	40	13	19	2	45	8	13	11	21	13	40
2017	용산구	이촌1동	14	14	37	122	4	4	53	91	34	126	17	48	-	-	13	79	10	41	11	47
2017	용산구	이촌2동	38	38	11	16	42	46	25	34	8	8	-	-	1	1	7	16	1	1	2	4
2017	용산구	이태원1동	11	11	61	210	10	10	24	33	16	36	129	544	3	21	43	153	-	-	21	115
2017	용산구	이태원2동	34	34	36	125	16	16	36	51	16	19	46	126	6	13	41	122	3	13	8	35
2017	용산구	서빙고동	24	153	15	62	27	27	14	20	11	19	1	1	1	7	9	38	8	51	1	4
2017	용산구	보광동	54	54	42	84	44	46	47	65	41	50	23	38	-	-	10	21	6	20	19	49
2017	용산구	청파동	44	44	84	229	57	57	61	94	51	171	40	65	2	5	55	143	7	35	23	69
2017	용산구	원효로1동	21	21	87	258	31	31	63	83	24	45	29	60	3	8	41	104	9	18	30	82
2017	용산구	한강로동	15	15	180	794	21	21	156	245	30	110	48	113	3	18	115	425	2	10	54	226
2017	용산구	한남동	35	35	93	381	37	38	96	156	29	83	46	123	9	83	66	285	4	11	37	206
2017	성동구	소계	1,144	2,684	939	2,738	1,042	1,118	715	1,206	485	882	325	723	110	1,504	438	1,450	268	1,120	374	1,344
2017	성동구	왕십리2동	41	41	21	39	63	66	38	56	26	50	11	18	4	17	6	20	9	53	6	13
2017	성동구	마장동	404	606	63	155	80	82	33	47	25	27	17	31	8	32	17	40	15	40	46	165
2017	성동구	사근동	26	26	78	325	31	31	34	42	24	72	62	235	-	-	63	269	2	4	40	180
2017	성동구	행당1동	34	34	70	227	40	40	34	55	38	129	13	22	2	8	29	146	23	138	31	142
