기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	비알콜 음료점업	비알콜 음료점업	셔츠 및 외의 도매업	셔츠 및 외의 도매업	기타음·식료품 위주 종합소매업	기타음·식료품 위주 종합소매업
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2014	합계	합계	48,789	87,443	47,794	163,433	37,257	40,793	21,709	38,873	19,733	45,082	16,479	33,548	14,342	32,714	13,933	47,763	13,468	46,925	10,206	20,588
2014	종로구	소계	226	226	2,536	9,664	599	672	528	985	695	1,946	251	477	322	662	1,050	3,730	499	1,021	506	889
2014	종로구	사직동	8	8	341	1,405	13	13	55	101	87	214	24	49	25	75	141	500	2	3	38	60
2014	종로구	삼청동	4	4	67	366	9	9	4	18	6	20	-	-	17	35	75	344	1	5	16	30
2014	종로구	부암동	19	19	31	91	16	16	12	15	12	26	9	11	4	5	36	71	-	-	14	29
2014	종로구	평창동	14	14	60	263	18	25	31	43	21	32	18	31	3	5	21	60	2	3	10	21
2014	종로구	무악동	13	13	18	39	280	284	15	22	6	8	9	10	-	-	8	9	-	-	7	9
2014	종로구	교남동	14	14	26	104	13	13	10	12	5	11	5	5	5	6	8	25	-	-	5	11
2014	종로구	가회동	10	10	75	290	11	12	15	21	14	31	8	10	1	1	48	131	5	13	12	21
2014	종로구	종로1.2.3.4가동	2	2	935	4,016	17	30	118	327	292	928	33	78	104	222	346	1,392	267	349	174	277
2014	종로구	종로5·6가동	6	6	279	868	25	58	68	110	45	92	18	27	41	86	72	146	79	221	61	106
2014	종로구	이화동	7	7	115	488	18	18	12	32	32	149	8	18	13	50	84	404	9	144	18	35
2014	종로구	창신1동	9	9	116	298	7	7	34	37	24	50	13	44	54	76	17	46	96	167	39	57
2014	종로구	창신2동	12	12	66	180	27	27	15	19	18	28	23	29	5	11	5	17	1	3	21	31
2014	종로구	창신3동	28	28	14	26	30	30	14	18	-	-	10	11	-	-	4	4	1	6	5	9
2014	종로구	숭인1동	12	12	27	63	31	32	15	22	6	15	10	17	5	7	3	6	10	38	12	21
2014	종로구	숭인2동	11	11	113	290	37	38	40	70	21	44	14	22	14	31	22	59	23	66	35	64
2014	종로구	청운효자동	24	24	61	199	21	34	32	52	11	20	16	23	11	12	51	109	3	3	22	48
2014	종로구	혜화동	33	33	192	678	26	26	38	66	95	278	33	92	20	40	109	407	-	-	17	60
2014	중구	소계	237	252	2,487	9,923	393	456	672	1,485	567	1,412	315	878	2,201	4,986	850	3,125	11,118	22,731	662	1,152
2014	중구	소공동	1	1	282	1,413	-	-	31	153	38	123	16	53	156	593	138	583	4	132	50	103
2014	중구	회현동	7	22	238	986	6	6	26	55	34	89	19	61	499	764	98	315	1,577	2,777	107	165
2014	중구	명동	-	-	463	2,506	2	2	108	411	69	284	66	386	202	1,137	245	1,200	21	405	79	151
2014	중구	필동	4	4	177	684	14	17	32	71	65	150	14	23	3	6	71	224	3	15	22	37
